,ids,totals
0,630,3.95
1,647,3.95
2,648,3.95
3,651,3.95
4,764,3.95
5,838,3.95
6,840,3.95
7,857,3.95
8,874,3.95
9,894,3.95
10,1212,24.75
11,1216,15.850000000000001
12,1219,4.95
13,1220,15.850000000000001
14,1221,63.400000000000006
15,1222,4.95
16,1223,19.8
17,1375,15.850000000000001
18,1376,20.85
19,1382,9.9
20,1385,46.650000000000006
21,1386,3.95
22,1387,3.95
23,1388,4.45
24,1389,3.95
25,1390,25.8
26,1397,19.65
27,1402,24.8
28,1403,43.65
29,1784,46.599999999999994
30,1785,22.75
31,1786,21.75
32,1787,8.95
33,1788,46.599999999999994
34,1794,7.9
35,1804,19.75
36,1805,7.9
37,1806,4.95
38,1807,19.75
39,1808,12.850000000000001
40,1809,36.55
41,1810,0.5
42,1813,7.9
43,1818,3.95
44,1834,7.9
45,1953,7.9
46,2019,23.799999999999997
47,2032,3.95
48,2035,66.45
49,2040,1.95
50,2053,3.95
51,2071,34.349999999999994
52,2072,34.5
53,2073,31.45
54,2074,27.75
55,2092,29.8
56,2093,22.849999999999998
57,2094,20.85
58,2095,27.799999999999997
59,2096,17.5
60,2097,107.05000000000001
61,2098,27.75
62,2099,36.5
63,2100,37.55
64,2101,37.65
65,2102,34.0
66,2103,55.10000000000001
67,2104,30.75
68,2105,72.95
69,2106,24.75
70,2107,61.45
71,2108,25.75
72,2109,32.15
73,2111,27.75
74,2112,21.849999999999998
75,2113,73.60000000000001
76,2114,40.65
77,2115,31.8
78,2116,27.3
79,2117,53.95
80,2118,14.85
81,2119,28.4
82,2120,26.7
83,2121,55.150000000000006
84,2122,50.55
85,2123,37.65
86,2124,29.5
87,2126,49.55
88,2127,54.650000000000006
89,2128,23.85
90,2129,51.2
91,2130,20.85
92,2131,68.5
93,2132,25.45
94,2133,21.45
95,2134,51.7
96,2135,22.8
97,2136,17.9
98,2137,25.45
99,2150,23.4
100,2151,22.1
101,2164,33.599999999999994
102,2165,26.65
103,2172,43.8
104,2176,37.75
105,2177,37.65
106,2178,71.25000000000001
107,2179,24.4
108,2180,38.349999999999994
109,2181,30.75
110,2182,3.95
111,2183,58.45
112,2184,21.8
113,2185,50.199999999999996
114,2186,48.849999999999994
115,2187,17.85
116,2188,5.25
117,2189,8.9
118,2190,23.4
119,2191,15.85
120,2192,33.7
121,2193,27.75
122,2194,20.8
123,2195,22.85
124,2196,48.699999999999996
125,2197,27.2
126,2198,31.4
127,2199,48.2
128,2200,40.4
129,2201,14.0
130,2202,32.099999999999994
131,2203,26.75
132,2204,29.8
133,2205,108.95000000000002
134,2206,18.85
135,2207,19.8
136,2208,19.45
137,2209,52.8
138,2210,32.75
139,2211,27.95
140,2213,14.85
141,2217,19.7
142,2218,58.35000000000001
143,2219,33.55
144,2220,67.05
145,2221,23.849999999999998
146,2222,24.799999999999997
147,2223,21.7
148,2224,61.900000000000006
149,2225,11.899999999999999
150,2226,37.3
151,2227,33.7
152,2228,77.35000000000001
153,2229,24.45
154,2230,20.8
155,2231,28.75
156,2232,57.60000000000001
157,2233,57.5
158,2234,28.45
159,2235,46.05
160,2236,27.8
161,2237,37.25
162,2238,44.599999999999994
163,2239,37.7
164,2240,32.7
165,2241,60.8
166,2242,25.75
167,2243,57.349999999999994
168,2244,37.599999999999994
169,2245,23.7
170,2246,44.2
171,2248,31.7
172,2249,46.7
173,2250,60.75
174,2251,24.799999999999997
175,2252,34.349999999999994
176,2253,48.599999999999994
177,2254,55.599999999999994
178,2255,22.8
179,2256,47.0
180,2257,26.4
181,2258,24.15
182,2259,31.4
183,2260,21.85
184,2261,24.75
185,2262,17.85
186,2263,74.85000000000001
187,2264,20.85
188,2265,33.4
189,2266,36.75
190,2267,3.95
191,2268,3.95
192,2269,22.849999999999998
193,2270,17.9
194,2274,19.45
195,2275,18.95
